id,forecastVolum
1,374
2,377
3,226
4,345
5,429
6,254
7,477
8,252
9,2533
10,410
11,745
12,226
13,396
14,410
15,760
16,487
17,410
18,360
19,745
20,177
21,380
22,381
23,386
24,334
25,302
26,299
27,584
28,577
29,1088
30,388
31,6285
32,583
33,1606
34,369
35,822
36,502
37,1303
38,932
39,592
40,1262
41,1408
42,302
43,417
44,728
45,192
46,337
47,222
48,359
49,405
50,143
51,385
52,177
53,1274
54,227
55,418
56,124
57,372
58,309
59,414
60,270
61,214
62,124
63,541
64,176
65,289
66,337
67,218
68,376
69,201
70,184
71,549
72,295
73,516
74,275
75,2579
76,497
77,968
78,383
79,508
80,624
81,1684
82,689
83,612
84,754
85,689
86,192
87,318
88,290
89,397
90,4934
91,652
92,292
93,2306
94,2002
95,4528
96,1952
97,2007
98,2790
99,2416
100,1166
101,4528
102,4528
103,2007
104,2049
105,1944
106,539
107,2306
108,437
109,2416
110,766
111,604
112,636
113,722
114,157
115,1370
116,1448
117,2062
118,846
119,5158
120,826
121,1785
122,1063
123,3028
124,2857
125,1394
126,1482
127,1560
128,481
129,524
130,846
131,810
132,636
133,947
134,352
135,172
136,982
137,427
138,417
139,961
140,365
141,880
142,131
143,927
144,232
145,622
146,853
147,1015
148,372
149,236
150,229
151,411
152,198
153,372
154,250
155,656
156,189
157,89
158,176
159,474
160,685
161,489
162,147
163,612
164,197
165,1053
166,441
167,390
168,552
169,952
170,508
171,508
172,277
173,133
174,189
175,317
176,101
177,1204
178,489
179,475
180,539
181,1420
182,1366
183,1287
184,539
185,1261
186,484
187,1134
188,1204
189,1449
190,1381
191,1138
192,1381
193,1261
194,557
195,495
196,641
197,513
198,324
199,1350
200,411
201,380
202,118
203,1614
204,2538
205,3007
206,989
207,1370
208,928
209,3007
210,1838
211,1838
212,3007
213,2771
214,1711
215,1370
216,1191
217,584
218,528
219,602
220,232
221,311
222,460
223,425
224,380
225,1300
226,1098
227,1460
228,1074
229,1028
230,1236
231,1296
232,921
233,1053
234,1662
235,1662
236,1135
237,1296
238,921
239,471
240,944
241,950
242,249
243,86
244,597
245,441
246,93
247,1143
248,596
249,1298
250,1097
251,1220
252,672
253,596
254,707
255,1868
256,1586
257,1071
258,672
259,1074
260,388
261,723
262,619
263,1189
264,477
265,261
266,1117
267,854
268,185
269,1157
270,1174
271,1812
272,1117
273,1537
274,853
275,1131
276,1345
277,1870
278,1978
279,1135
280,1307
281,1345
282,711
283,500
284,778
285,918
286,778
287,704
288,2126
289,1323
290,675
291,2683
292,2902
293,3595
294,1459
295,3595
296,1037
297,3595
298,2189
299,2683
300,3595
301,2683
302,2729
303,2902
304,1180
305,1885
306,1494
307,1885
308,900
309,823
310,548
311,567
312,866
313,914
314,1213
315,1351
316,830
317,693
318,279
319,1391
320,520
321,1325
322,1667
323,964
324,472
325,716
326,389
327,306
328,514
329,696
330,175
331,106
332,1378
333,1156
334,509
335,2575
336,683
337,2271
338,1453
339,1899
340,568
341,688
342,572
343,2271
344,1899
345,682
346,775
347,1359
348,705
349,1524
350,419
351,957
352,1659
353,4169
354,1488
355,1019
356,1166
357,4169
358,4169
359,2705
360,1859
361,1542
362,1021
363,2705
364,1367
365,2705
366,2705
367,4882
368,1080
369,4882
370,1889
371,1576
372,1468
373,1913
374,482
375,538
376,1206
377,1300
378,364
379,1543
380,1305
381,3159
382,3315
383,784
384,619
385,1678
386,693
387,3159
388,3131
389,854
390,584
391,578
392,723
393,1725
394,587
395,1513
396,846
397,514
398,530
399,576
400,1284
401,1487
402,790
403,1215
404,512
405,1233
406,477
407,1329
408,528
409,1227
410,1236
411,1055
412,733
413,680
414,509
415,996
416,538
417,594
418,877
419,477
420,341
421,183
422,216
423,421
424,521
425,881
426,177
427,521
428,243
429,1028
430,415
431,411
432,421
433,984
434,353
435,477
436,286
437,260
438,296
439,229
440,234
441,833
442,873
443,873
444,561
445,2222
446,2079
447,2222
448,730
449,1349
450,569
451,1882
452,634
453,1882
454,1882
455,2222
456,930
457,930
458,628
459,757
460,655
461,892
462,568
463,731
464,331
465,284
466,561
467,800
468,800
469,1055
470,256
471,771
472,223
473,1129
474,382
475,1112
476,1020
477,1145
478,347
479,405
480,338
481,327
482,108
483,405
484,284
485,84
486,103
487,103
488,94
489,276
490,600
491,873
492,409
493,173
494,189
495,380
496,158
497,878
498,509
499,151
500,307
501,294
502,91
503,308
504,151
505,216
506,162
507,679
508,296
509,136
510,682
511,638
512,380
513,515
514,170
515,1438
516,216
517,1398
518,259
519,386
520,366
521,1355
522,395
523,360
524,415
525,259
526,296
527,252
528,86
529,485
530,237
531,148
532,446
533,509
534,298
535,447
536,148
537,676
538,201
539,835
540,215
541,295
542,332
543,835
544,395
545,323
546,446
547,214
548,237
549,201
550,90
551,543
552,333
553,134
554,689
555,494
556,266
557,471
558,162
559,922
560,170
561,923
562,190
563,272
564,278
565,881
566,463
567,308
568,328
569,239
570,274
571,205
572,83
573,264
574,66
575,29
576,240
577,150
578,157
579,279
580,32
581,197
582,36
583,465
584,54
585,204
586,135
587,499
588,85
589,81
590,52
591,85
592,52
593,67
594,24
595,748
596,291
597,208
598,636
599,716
600,466
601,710
602,208
603,1066
604,203
605,1569
606,355
607,507
608,466
609,1334
610,464
611,461
612,347
613,547
614,307
615,397
616,197
617,464
618,219
619,171
620,367
621,411
622,336
623,529
624,161
625,758
626,170
627,898
628,271
629,396
630,354
631,1067
632,423
633,379
634,294
635,217
636,158
637,161
638,102
639,627
640,262
641,198
642,952
643,606
644,396
645,708
646,203
647,1353
648,258
649,1254
650,360
651,437
652,428
653,1279
654,473
655,436
656,374
657,473
658,258
659,360
660,226
661,704
662,336
663,128
664,705
665,611
666,507
667,496
668,128
669,1142
670,225
671,1233
672,266
673,411
674,435
675,1257
676,376
677,453
678,376
679,283
680,283
681,266
682,113
683,600
684,983
685,478
686,396
687,706
688,1496
689,2874
690,821
691,3960
692,4060
693,2069
694,945
695,2222
696,4156
697,1481
698,955
699,1420
700,626
701,983
702,490
703,988
704,868
705,1145
706,459
707,662
708,171
709,1081
710,695
711,1321
712,512
713,397
714,201
715,1679
716,684
717,1145
718,940
719,849
720,464
721,760
722,459
723,209
724,281
725,1243
726,220
727,308
728,149
729,82
730,92
731,229
732,162
733,276
734,83
735,157
736,48
737,458
738,83
739,245
740,286
741,334
742,76
743,157
744,92
745,40
746,113
747,134
748,32
749,297
750,141
751,141
752,584
753,485
754,308
755,793
756,285
757,2288
758,440
759,830
760,367
761,585
762,397
763,823
764,683
765,502
766,683
767,367
768,436
769,283
770,121
771,314
772,465
773,614
774,777
775,910
776,367
777,828
778,472
779,1677
780,448
781,777
782,425
783,1145
784,910
785,878
786,1212
787,777
788,465
789,828
790,588
791,657
792,529
793,189
794,279
795,221
796,116
797,551
798,345
799,456
800,223
801,1060
802,345
803,763
804,426
805,426
806,694
807,795
808,345
809,551
810,374
811,353
812,260
813,198
814,162
815,326
816,314
817,526
818,323
819,1120
820,536
821,2728
822,1346
823,4911
824,1022
825,2610
826,1346
827,2610
828,1139
829,1151
830,1365
831,1151
832,1233
833,1022
834,583
835,486
836,1088
837,488
838,628
839,557
840,810
841,802
842,810
843,1542
844,870
845,2766
846,546
847,1256
848,690
849,1447
850,1657
851,1433
852,1602
853,961
854,843
855,1103
856,429
857,690
858,840
859,204
860,280
861,221
862,251
863,371
864,377
865,626
866,321
867,2089
868,294
869,717
870,318
871,551
872,717
873,717
874,743
875,373
876,411
877,442
878,145
879,268
880,310
881,208
882,24
883,38
884,235
885,50
886,72
887,328
888,111
889,782
890,30
891,369
892,43
893,250
894,174
895,453
896,60
897,38
898,72
899,143
900,30
901,30
902,50
903,370
904,370
905,203
906,320
907,506
908,368
909,767
910,336
911,3715
912,390
913,775
914,402
915,771
916,506
917,976
918,759
919,580
920,656
921,543
922,222
923,235
924,290
925,464
926,169
927,297
928,490
929,503
930,442
931,902
932,490
933,2263
934,189
935,1091
936,332
937,761
938,777
939,1550
940,664
941,581
942,490
943,1091
944,219
945,336
946,592
947,232
948,48
949,36
950,235
951,159
952,94
953,158
954,32
955,277
956,15
957,162
958,36
959,110
960,94
961,85
962,94
963,92
964,78
965,66
966,85
967,71
968,40
969,281
970,182
971,132
972,57
973,353
974,691
975,691
976,236
977,675
978,132
979,1043
980,609
981,479
982,816
983,842
984,443
985,409
986,346
987,99
988,83
989,170
990,92
991,251
992,223
993,215
994,227
995,524
996,580
997,707
998,242
999,611
1000,215
1001,766
1002,471
1003,798
1004,891
1005,934
1006,564
1007,582
1008,471
1009,336
1010,237
1011,489
1012,278
1013,609
1014,222
1015,109
1016,292
1017,1066
1018,970
1019,1041
1020,280
1021,1455
1022,355
1023,1746
1024,660
1025,834
1026,1613
1027,1831
1028,620
1029,748
1030,620
1031,293
1032,484
1033,426
1034,127
1035,205
1036,602
1037,1210
1038,151
1039,1231
1040,753
1041,1835
1042,1767
1043,1112
1044,691
1045,1214
1046,594
1047,2662
1048,1739
1049,1112
1050,627
1051,987
1052,1027
1053,2096
1054,287
1055,1150
1056,1083
1057,747
1058,427
1059,396
1060,509
1061,756
1062,995
1063,1089
1064,435
1065,869
1066,325
1067,693
1068,955
1069,1089
1070,1089
1071,1469
1072,741
1073,851
1074,518
1075,333
1076,473
1077,505
1078,243
1079,292
1080,328
1081,89
1082,132
1083,461
1084,417
1085,714
1086,179
1087,708
1088,282
1089,1012
1090,369
1091,746
1092,698
1093,680
1094,381
1095,346
1096,388
1097,155
1098,245
1099,292
1100,103
1123,715
1124,352
1125,91
1126,210
1127,1023
1128,940
1129,721
1130,126
1131,1040
1132,384
1133,1007
1134,555
1135,639
1136,840
1137,1258
1138,677
1139,642
1140,745
1141,186
1142,576
1143,286
1144,131
1145,388
1146,373
1147,225
1148,462
1149,605
1150,288
1151,644
1152,224
1153,1048
1154,212
1155,596
1156,225
1157,549
1158,462
1159,472
1160,331
1161,402
1162,234
1163,339
1164,432
1165,256
1166,333
1167,509
1168,593
1169,382
1170,314
1171,1106
1172,1093
1173,1054
1174,627
1175,1251
1176,857
1177,1034
1178,867
1179,980
1180,1432
1181,942
1182,664
1183,1139
1184,857
1185,398
1186,895
1187,1227
1188,266
1189,138
1190,170
1191,246
1192,134
1193,247
1194,295
1195,516
1196,199
1197,138
1198,103
1199,229
1200,237
1201,368
1202,504
1203,195
1204,298
1205,631
1206,111
1207,188
1208,224
1209,531
1210,229
1211,310
1212,745
1213,791
1214,347
1215,1198
1216,790
1217,995
1218,1368
1219,939
1220,475
1221,1174
1222,650
1223,1875
1224,1198
1225,933
1226,585
1227,780
1228,475
1229,407
1230,1015
1231,995
1232,358
1233,822
1234,1124
1235,1321
1236,445
1237,1486
1238,1151
1239,1275
1240,918
1241,1262
1242,562
1243,1418
1244,896
1245,1535
1246,1618
1247,1418
1248,876
1249,1301
1250,841
1251,421
1252,1286
1253,1438
1254,413
1255,64
1256,855
1257,73
1258,394
1259,464
1260,165
1261,457
1262,163
1263,918
1264,56
1265,779
1266,90
1267,896
1268,805
1269,424
1270,409
1271,316
1272,163
1273,291
1274,896
1275,267
1276,83
1277,198
1278,251
1279,243
1280,173
1281,692
1282,409
1283,477
1284,250
1285,422
1286,285
1287,706
1288,251
1289,726
1290,716
1291,398
1292,106
1293,386
1294,175
1295,76
1296,1558
1297,731
1298,49
1299,2087
1300,215
1301,215
1302,127
1303,1362
1304,1050
1305,1073
1306,386
1307,852
1308,355
1309,1231
1310,843
1311,915
1312,1183
1313,1050
1314,806
1315,1073
1316,312
1317,157
1318,215
1319,427
1320,86
1321,172
1322,129
1323,102
1324,104
1325,280
1326,226
1327,186
1328,57
1329,581
1330,226
1331,433
1332,129
1333,149
1334,186
1335,406
1336,288
1337,335
1338,143
1339,136
1340,149
1341,327
1342,85
1343,191
1344,193
1345,132
1346,190
1347,201
1348,144
1349,217
1350,144
1351,1608
1352,207
1353,383
1354,132
1355,203
1356,207
1357,395
1358,218
1359,207
1360,191
1361,383
1362,116
1363,193
1364,201
1365,251
1366,225
1367,214
1368,204
1369,338
1370,338
1371,716
1372,251
1373,4224
1374,338
1375,926
1376,243
1377,553
1378,282
1379,853
1380,598
1381,338
1382,763
1383,977
1384,214
1385,253
1386,430
1387,125
1388,187
1389,136
1390,192
1391,212
1392,98
1393,202
1394,116
1395,693
1396,136
1397,208
1398,80
1399,192
1400,162
1401,208
1402,149
1403,127
1404,80
1405,283
1406,116
1407,160
1408,187
1409,141
1410,191
1411,124
1412,116
1413,299
1414,161
1415,236
1416,158
1417,1656
1418,220
1419,495
1420,205
1421,237
1422,299
1423,1219
1424,350
1425,328
1426,400
1427,350
1428,123
1429,176
1430,164
1431,252
1432,3289
1433,450
1434,233
1435,1632
1436,1263
1437,2922
1438,1251
1439,1263
1440,1188
1441,1125
1442,840
1443,2922
1444,2922
1445,1263
1446,1263
1447,1251
1448,386
1449,1632
1450,269
1451,1125
1452,490
1453,303
1454,337
1455,389
1456,106
1457,788
1458,926
1459,1114
1460,439
1461,2951
1462,396
1463,864
1464,568
1465,1459
1466,1644
1467,880
1468,929
1469,708
1470,222
1471,238
1472,439
1473,409
1474,337
1475,546
1476,214
1477,115
1478,576
1479,228
1480,234
1481,564
1482,216
1483,519
1484,92
1485,555
1486,132
1487,343
1488,473
1489,629
1490,215
1491,132
1492,136
1493,234
1494,125
1495,215
1496,143
1497,284
1498,118
1499,61
1500,109
1501,220
1502,290
1503,209
1504,91
1505,257
1506,118
1507,570
1508,204
1509,195
1510,256
1511,461
1512,226
1513,226
1514,148
1515,85
1516,118
1517,165
1518,62
1519,605
1520,240
1521,245
1522,278
1523,628
1524,721
1525,651
1526,278
1527,653
1528,240
1529,564
1530,605
1531,761
1532,661
1533,564
1534,661
1535,653
1536,318
1537,240
1538,345
1539,256
1540,210
1541,892
1542,241
1543,220
1544,93
1545,859
1546,1121
1547,1326
1548,481
1549,892
1550,456
1551,1326
1552,1010
1553,1010
1554,1326
1555,1387
1556,835
1557,892
1558,650
1559,328
1560,272
1561,341
1562,161
1563,180
1564,214
1565,216
1566,216
1567,661
1568,593
1569,728
1570,589
1571,491
1572,558
1573,661
1574,442
1575,607
1576,754
1577,754
1578,513
1579,661
1580,442
1581,242
1582,466
1583,466
1584,163
1585,59
1586,303
1587,214
1588,60
1589,615
1590,297
1591,693
1592,492
1593,667
1594,348
1595,297
1596,370
1597,945
1598,783
1599,499
1600,348
1601,499
1602,208
1603,385
1604,301
1605,653
1606,229
1607,153
1608,534
1609,400
1610,120
1611,570
1612,595
1613,811
1614,534
1615,810
1616,400
1617,540
1618,694
1619,862
1620,977
1621,540
1622,668
1623,694
1624,381
1625,235
1626,392
1627,412
1628,392
1629,361
1630,1276
1631,584
1632,334
1633,1313
1634,1543
1635,1205
1636,724
1637,1205
1638,497
1639,1205
1640,1438
1641,1313
1642,1205
1643,1313
1644,1314
1645,1543
1646,519
1647,973
1648,591
1649,973
1650,417
1651,380
1652,298
1653,295
1654,412
1655,409
1656,568
1657,708
1658,364
1659,359
1660,161
1661,636
1662,236
1663,685
1664,664
1665,449
1666,230
1667,375
1668,208
1669,165
1670,236
1671,359
1672,114
1673,105
1674,865
1675,679
1676,297
1677,1605
1678,433
1679,1350
1680,1036
1681,1119
1682,364
1683,433
1684,364
1685,1350
1686,1119
1687,433
1688,475
1689,865
1690,452
1691,932
1692,266
1693,509
1694,925
1695,2210
1696,584
1697,578
1698,475
1699,2210
1700,2210
1701,704
1702,1183
1703,442
1704,578
1705,704
1706,904
1707,704
1708,704
1709,2292
1710,396
1711,2292
1712,1183
1713,677
1714,874
1715,1300
1716,219
1717,283
1718,674
1719,751
1720,237
1721,923
1722,751
1723,2243
1724,2243
1725,408
1726,317
1727,903
1728,379
1729,2243
1730,2243
1731,416
1732,325
1733,312
1734,409
1735,944
1736,325
1737,985
1738,416
1739,206
1740,205
1741,269
1742,683
1743,755
1744,403
1745,685
1746,206
1747,667
1748,219
1749,728
1750,205
1751,667
1752,667
1753,535
1754,364
1755,325
1756,207
1757,447
1758,228
1759,269
1760,447
1761,209
1762,193
1763,112
1764,139
1765,198
1766,228
1767,435
1768,110
1769,228
1770,146
1771,457
1772,204
1773,204
1774,198
1775,446
1776,200
1777,209
1778,165
1779,143
1780,159
1781,138
1782,138
1783,430
1784,501
1785,501
1786,340
1787,1440
1788,1354
1789,1440
1790,431
1791,785
1792,334
1793,1070
1794,389
1795,1070
1796,1070
1797,1440
1798,497
1799,497
1800,372
1801,441
1802,401
1803,505
1804,334
1805,477
1806,225
1807,200
1808,357
1809,533
1810,533
1811,709
1812,178
1813,511
1814,173
1815,635
1816,247
1817,687
1818,588
1819,635
1820,242
1821,276
1822,239
1823,225
1824,108
1825,276
1826,200
1827,61
1828,73
1829,73
1830,65
1831,154
1832,312
1833,437
1834,212
1835,116
1836,125
1837,194
1838,101
1839,437
1840,232
1841,98
1842,162
1843,158
1844,62
1845,162
1846,98
1847,137
1848,105
1849,345
1850,159
1851,94
1852,345
1853,329
1854,196
1855,237
1856,108
1857,835
1858,139
1859,868
1860,142
1861,204
1862,193
1863,840
1864,205
1865,194
1866,210
1867,142
1868,159
1869,146
1870,62
1871,210
1872,136
1873,90
1874,201
1875,218
1876,150
1877,201
1878,90
1879,319
1880,119
1881,348
1882,127
1883,150
1884,170
1885,348
1886,195
1887,178
1888,201
1889,117
1890,136
1891,119
1892,56
1893,303
1894,182
1895,94
1896,401
1897,241
1898,151
1899,244
1900,108
1901,509
1902,109
1903,509
1904,127
1905,151
1906,160
1907,528
1908,224
1909,168
1910,185
1911,147
1912,151
1913,129
1914,63
1915,152
1916,39
1917,22
1918,148
1919,102
1920,104
1921,159
1922,23
1923,130
1924,26
1925,168
1926,32
1927,132
1928,97
1929,164
1930,64
1931,59
1932,32
1933,64
1934,32
1935,39
1936,18
1937,387
1938,160
1939,127
1940,336
1941,383
1942,235
1943,383
1944,127
1945,652
1946,126
1947,1025
1948,192
1949,239
1950,235
1951,777
1952,214
1953,214
1954,190
1955,314
1956,162
1957,205
1958,125
1959,233
1960,136
1961,107
1962,192
1963,208
1964,187
1965,233
1966,105
1967,388
1968,107
1969,451
1970,149
1971,204
1972,192
1973,432
1974,202
1975,194
1976,158
1977,137
1978,101
1979,105
1980,68
1981,341
1982,148
1983,124
1984,468
1985,315
1986,203
1987,389
1988,126
1989,631
1990,140
1991,601
1992,191
1993,209
1994,201
1995,591
1996,224
1997,209
1998,191
1999,224
2000,140
2001,191
2002,132
2003,369
2004,187
2005,89
2006,369
2007,312
2008,237
2009,221
2010,89
2011,701
2012,136
2013,733
2014,149
2015,208
2016,210
2017,758
2018,192
2019,208
2020,192
2021,157
2022,157
2023,149
2024,80
2025,349
2026,438
2027,259
2028,268
2029,438
2030,729
2031,1130
2032,347
2033,2456
2034,2456
2035,1335
2036,431
2037,1573
2038,2456
2039,771
2040,431
2041,643
2042,383
2043,438
2044,262
2045,456
2046,389
2047,532
2048,188
2049,322
2050,100
2051,492
2052,345
2053,599
2054,222
2055,193
2056,116
2057,723
2058,326
2059,532
2060,451
2061,379
2062,219
2063,379
2064,188
2065,115
2066,148
2067,552
2068,127
2069,150
2070,89
2071,52
2072,55
2073,134
2074,96
2075,150
2076,52
2077,92
2078,26
2079,139
2080,52
2081,140
2082,156
2083,168
2084,50
2085,92
2086,55
2087,22
2088,72
2089,84
2090,21
2091,158
2092,94
2093,94
2094,304
2095,222
2096,162
2097,356
2098,164
2099,1153
2100,210
2101,411
2102,192
2103,304
2104,204
2105,374
2106,343
2107,238
2108,343
2109,192
2110,210
2111,164
2112,82
2113,163
2114,219
2115,305
2116,375
2117,408
2118,183
2119,396
2120,217
2121,854
2122,194
2123,375
2124,191
2125,551
2126,408
2127,404
2128,549
2129,375
2130,219
2131,396
2132,279
2133,322
2134,224
2135,125
2136,157
2137,136
2138,77
2139,332
2140,194
2141,210
2142,136
2143,561
2144,194
2145,431
2146,206
2147,206
2148,406
2149,397
2150,194
2151,332
2152,195
2153,196
2154,141
2155,125
2156,105
2157,202
2158,204
2159,249
2160,210
2161,589
2162,284
2163,1040
2164,816
2165,3933
2166,567
2167,1106
2168,816
2169,1106
2170,615
2171,623
2172,882
2173,623
2174,760
2175,567
2176,312
2177,246
2178,543
2179,214
2180,321
2181,293
2182,390
2183,390
2184,390
2185,864
2186,410
2187,1519
2188,252
2189,632
2190,353
2191,619
2192,769
2193,619
2194,822
2195,450
2196,390
2197,530
2198,199
2199,353
2200,390
2201,127
2202,163
2203,142
2204,150
2205,193
2206,193
2207,331
2208,191
2209,1237
2210,163
2211,386
2212,178
2213,300
2214,386
2215,386
2216,389
2217,193
2218,212
2219,212
2220,106
2221,155
2222,168
2223,117
2224,16
2225,24
2226,127
2227,31
2228,48
2229,171
2230,70
2231,366
2232,20
2233,182
2234,26
2235,135
2236,107
2237,194
2238,32
2239,24
2240,48
2241,90
2242,20
2243,20
2244,31
2245,183
2246,183
2247,115
2248,175
2249,223
2250,183
2251,389
2252,175
2253,2278
2254,192
2255,374
2256,201
2257,389
2258,223
2259,430
2260,382
2261,285
2262,322
2263,247
2264,127
2265,127
2266,151
2267,226
2268,106
2269,153
2270,213
2271,230
2272,204
2273,446
2274,213
2275,1172
2276,110
2277,565
2278,170
2279,401
2280,394
2281,738
2282,345
2283,289
2284,213
2285,565
2286,131
2287,183
2288,289
2289,127
2290,27
2291,24
2292,127
2293,92
2294,58
2295,92
2296,22
2297,145
2298,11
2299,97
2300,24
2301,70
2302,58
2303,57
2304,58
2305,55
2306,46
2307,38
2308,57
2309,49
2310,22
2311,152
2312,114
2313,91
2314,35
2315,185
2316,349
2317,349
2318,131
2319,327
2320,91
2321,470
2322,298
2323,213
2324,339
2325,359
2326,203
2327,203
2328,185
2329,67
2330,55
2331,106
2332,61
2333,117
2334,109
2335,110
2336,107
2337,181
2338,226
2339,286
2340,114
2341,234
2342,110
2343,324
2344,190
2345,284
2346,425
2347,455
2348,226
2349,226
2350,190
2351,152
2352,118
2353,180
2354,129
2355,247
2356,101
2357,61
2358,125
2359,477
2360,375
2361,423
2362,122
2363,672
2364,150
2365,831
2366,282
2367,356
2368,727
2369,740
2370,244
2371,326
2372,244
2373,113
2374,170
2375,155
2376,76
2377,138
2378,436
2379,674
2380,117
2381,700
2382,419
2383,967
2384,1035
2385,514
2386,490
2387,674
2388,430
2389,1500
2390,1035
2391,514
2392,462
2393,392
2394,442
2395,1286
2396,172
2397,663
2398,498
2399,316
2400,161
2401,163
2402,195
2403,329
2404,339
2405,413
2406,168
2407,345
2408,145
2409,297
2410,379
2411,413
2412,413
2413,588
2414,316
2415,329
2416,171
2417,135
2418,189
2419,195
2420,111
2421,159
2422,177
2423,65
2424,92
2425,204
2426,207
2427,383
2428,114
2429,383
2430,157
2431,499
2432,191
2433,377
2434,367
2435,351
2436,201
2437,190
2438,201
2439,98
2440,143
2441,159
2442,73
2465,373
2466,190
2467,61
2468,123
2469,655
2470,474
2471,376
2472,89
2473,686
2474,202
2475,644
2476,303
2477,325
2478,396
2479,745
2480,341
2481,332
2482,374
2483,118
2484,295
2485,163
2486,92
2487,202
2488,191
2489,136
2490,209
2491,305
2492,163
2493,338
2494,136
2495,543
2496,127
2497,305
2498,136
2499,301
2500,209
2501,224
2502,175
2503,211
2504,136
2505,186
2506,209
2507,140
2508,175
2509,204
2510,264
2511,204
2512,172
2513,510
2514,510
2515,506
2516,308
2517,607
2518,369
2519,452
2520,385
2521,415
2522,595
2523,405
2524,317
2525,513
2526,369
2527,205
2528,398
2529,563
2530,148
2531,77
2532,93
2533,126
2534,79
2535,132
2536,143
2537,204
2538,111
2539,77
2540,62
2541,122
2542,129
2543,175
2544,217
2545,111
2546,143
2547,265
2548,66
2549,106
2550,119
2551,199
2552,122
2553,145
2554,351
2555,361
2556,173
2557,573
2558,361
2559,400
2560,556
2561,428
2562,206
2563,582
2564,313
2565,945
2566,573
2567,428
2568,271
2569,361
2570,206
2571,193
2572,436
2573,400
2574,173
2575,370
2576,503
2577,597
2578,173
2579,638
2580,481
2581,542
2582,372
2583,544
2584,264
2585,519
2586,409
2587,840
2588,725
2589,519
2590,405
2591,603
2592,360
2593,170
2594,542
2595,519
2596,195
2597,56
2598,454
2599,68
2600,261
2601,315
2602,139
2603,276
2604,141
2605,495
2606,50
2607,486
2608,81
2609,496
2610,504
2611,260
2612,269
2613,207
2614,141
2615,194
2616,496
2617,174
2618,72
2619,126
2620,144
2621,144
2622,116
2623,373
2624,211
2625,217
2626,144
2627,202
2628,163
2629,368
2630,144
2631,386
2632,383
2633,203
2634,74
